UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
177144,"R",220,"R",0,"R",220,"R",98,"R",45,"R",114,"R",52,"R",0,"R",220,"R",3,"R",0,"R",117,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
177214,"R",324,"R",0,"R",324,"R",129,"R",40,"R",190,"R",59,"R",0,"R",324,"R",1,"R",0,"R",191,"R",59,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
177250,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",494,"R",0,"R",494,"R",139,"R",28,"R",188,"R",38,"R",0,"R",494,"R",18,"R",20,"R",206,"R",42
177302,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",221,"R",0,"R",221,"R",143,"R",65,"R",154,"R",70,"Z",0,"R",221,"R",0,"Z",0,"R",154,"R",70
177339,"R",458,"R",0,"R",458,"R",203,"R",44,"R",242,"R",53,"R",0,"R",458,"R",1,"R",0,"R",243,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
177418,"R",157,"R",0,"R",157,"R",69,"R",44,"R",85,"R",54,"R",0,"R",157,"R",0,"R",0,"R",85,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
177436,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2,"R",0,"R",2,"R",2,"R",100,"R",2,"R",100,"Z",0,"R",2,"R",0,"Z",0,"R",2,"R",100
177472,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2119,"R",0,"R",2119,"R",511,"R",24,"R",676,"R",32,"R",0,"R",2119,"R",411,"R",399,"R",1087,"R",51
177542,"R",149,"R",0,"R",149,"R",49,"R",33,"R",59,"R",40,"Z",0,"R",149,"R",2,"Z",0,"R",61,"R",41,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
177551,"R",182,"R",0,"R",182,"R",6,"R",3,"R",31,"R",17,"R",0,"R",182,"R",5,"R",2,"R",36,"R",20,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
177588,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",13,"R",0,"R",13,"R",0,"R",0,"R",3,"R",23,"Z",0,"R",13,"R",0,"Z",0,"R",3,"R",23
177603,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",19,"R",0,"R",19,"R",2,"R",11,"R",12,"R",63,"Z",0,"R",19,"R",0,"Z",0,"R",12,"R",63
177676,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",778,"R",1,"R",777,"R",169,"R",22,"R",252,"R",32,"R",1,"R",776,"R",30,"R",36,"R",282,"R",36
177685,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",47,"R",0,"R",47,"R",6,"R",13,"R",32,"R",68,"Z",0,"R",47,"R",2,"R",0,"R",34,"R",72
177746,"R",141,"R",0,"R",141,"R",70,"R",50,"R",86,"R",61,"Z",0,"R",141,"R",0,"Z",0,"R",86,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
177816,"R",8,"R",0,"R",8,"R",7,"R",88,"R",7,"R",88,"Z",0,"R",8,"R",0,"Z",0,"R",7,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
177870,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",15,"R",0,"R",15,"R",13,"R",87,"R",13,"R",87,"Z",0,"R",15,"R",0,"Z",0,"R",13,"R",87
177931,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10,"R",0,"R",10,"R",8,"R",80,"R",8,"R",80,"Z",0,"R",10,"R",0,"Z",0,"R",8,"R",80
177940,"R",289,"R",0,"R",289,"R",24,"R",8,"R",74,"R",26,"R",0,"R",289,"R",5,"R",1,"R",79,"R",27,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
177968,"R",1311,"R",0,"R",1311,"R",424,"R",32,"R",659,"R",50,"R",1,"R",1310,"R",11,"R",3,"R",670,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
177977,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",511,"R",4,"R",507,"R",350,"R",69,"R",365,"R",72,"R",0,"R",507,"R",6,"R",0,"R",371,"R",73
177995,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2462,"R",3,"R",2459,"R",406,"R",17,"R",653,"R",27,"R",1,"R",2458,"R",119,"R",157,"R",772,"R",31
178004,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1,"R",0,"R",1,"R",1,"R",100,"R",1,"R",100,"Z",0,"R",1,"R",0,"Z",0,"R",1,"R",100
178059,"R",392,"R",0,"R",392,"R",220,"R",56,"R",280,"R",71,"R",0,"R",392,"R",4,"R",1,"R",284,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178077,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",18,"R",0,"R",18,"R",3,"R",17,"R",13,"R",72,"Z",0,"R",18,"R",0,"Z",0,"R",13,"R",72
178183,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",75,"R",0,"R",75,"R",31,"R",41,"R",63,"R",84,"Z",0,"R",75,"R",0,"Z",0,"R",63,"R",84
178208,"R",8,"R",0,"R",8,"R",1,"R",13,"R",4,"R",50,"Z",0,"R",8,"R",0,"Z",0,"R",4,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178217,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",593,"R",0,"R",593,"R",166,"R",28,"R",236,"R",40,"Z",0,"R",593,"R",14,"R",11,"R",250,"R",42
178244,"R",242,"R",0,"R",242,"R",75,"R",31,"R",107,"R",44,"R",0,"R",242,"R",4,"R",0,"R",111,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178341,"R",687,"R",1,"R",686,"R",102,"R",15,"R",223,"R",33,"R",0,"R",686,"R",18,"R",19,"R",241,"R",35,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178369,"R",410,"R",0,"R",410,"R",47,"R",11,"R",85,"R",21,"R",0,"R",410,"R",1,"R",0,"R",86,"R",21,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178387,"R",834,"R",6,"R",828,"R",120,"R",14,"R",300,"R",36,"R",0,"R",828,"R",21,"R",7,"R",321,"R",39,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178396,"R",6060,"R",12,"R",6048,"R",2917,"R",48,"R",4313,"R",71,"R",-2,"R",6050,"R",88,"R",21,"R",4401,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178402,"R",1060,"R",0,"R",1060,"R",245,"R",23,"R",499,"R",47,"R",0,"R",1060,"R",28,"R",9,"R",527,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178411,"R",1244,"R",2,"R",1242,"R",292,"R",24,"R",818,"R",66,"R",0,"R",1242,"R",26,"R",5,"R",844,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178420,"R",464,"R",4,"R",460,"R",149,"R",32,"R",240,"R",52,"R",-1,"R",461,"R",10,"R",4,"R",250,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178448,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",870,"R",0,"R",870,"R",202,"R",23,"R",295,"R",34,"R",0,"R",870,"R",35,"R",37,"R",330,"R",38
178527,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",23,"R",0,"R",23,"R",6,"R",26,"R",10,"R",43,"Z",0,"R",23,"R",0,"Z",0,"R",10,"R",43
178615,"R",1325,"R",3,"R",1322,"R",793,"R",60,"R",997,"R",75,"R",0,"R",1322,"R",8,"R",1,"R",1005,"R",76,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178624,"R",1249,"R",1,"R",1248,"R",407,"R",33,"R",632,"R",51,"R",0,"R",1248,"R",17,"R",2,"R",649,"R",52,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178679,"R",139,"R",0,"R",139,"R",31,"R",22,"R",72,"R",52,"R",0,"R",139,"R",2,"Z",0,"R",74,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178697,"R",351,"R",0,"R",351,"R",203,"R",58,"R",250,"R",71,"R",0,"R",351,"R",4,"R",0,"R",254,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178721,"R",62,"R",0,"R",62,"R",16,"R",26,"R",21,"R",34,"R",0,"R",62,"R",2,"R",1,"R",23,"R",37,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178767,"R",4,"R",0,"R",4,"R",4,"R",100,"R",4,"R",100,"Z",0,"R",4,"R",0,"Z",0,"R",4,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
178828,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",23,"R",0,"R",23,"R",20,"R",87,"R",20,"R",87,"R",0,"R",23,"R",0,"R",0,"R",20,"R",87
178891,"R",17,"R",0,"R",17,"R",5,"R",29,"R",6,"R",35,"Z",0,"R",17,"R",0,"Z",0,"R",6,"R",35,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
179043,"R",437,"R",0,"R",437,"R",304,"R",70,"R",332,"R",76,"R",0,"R",437,"R",3,"R",1,"R",335,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
179052,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",27,"R",0,"R",27,"R",22,"R",81,"R",22,"R",81,"Z",0,"R",27,"R",0,"Z",0,"R",22,"R",81
179159,"R",1638,"R",8,"R",1630,"R",1152,"R",71,"R",1286,"R",79,"R",0,"R",1630,"R",10,"R",1,"R",1296,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
179195,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",9,"R",0,"R",9,"R",1,"R",11,"R",4,"R",44,"R",0,"R",9,"R",0,"R",0,"R",4,"R",44
179229,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",11,"R",0,"R",11,"R",4,"R",36,"R",8,"R",73,"Z",0,"R",11,"R",0,"Z",0,"R",8,"R",73
179256,"R",13,"R",0,"R",13,"R",3,"R",23,"R",6,"R",46,"Z",0,"R",13,"R",0,"Z",0,"R",6,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
179308,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2384,"R",4,"R",2380,"R",209,"R",9,"R",421,"R",18,"R",2,"R",2378,"R",100,"R",183,"R",521,"R",22
179326,"R",453,"R",1,"R",452,"R",150,"R",33,"R",194,"R",43,"R",0,"R",452,"R",6,"R",0,"R",200,"R",44,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
179344,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",356,"R",0,"R",356,"R",74,"R",21,"R",108,"R",30,"R",0,"R",356,"R",6,"R",8,"R",114,"R",32
179511,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",47,"R",0,"R",47,"R",18,"R",38,"R",36,"R",77,"Z",0,"R",47,"R",0,"Z",0,"R",36,"R",77
179539,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",879,"R",0,"R",879,"R",187,"R",21,"R",294,"R",33,"R",2,"R",877,"R",38,"R",33,"R",332,"R",38
179548,"R",168,"R",0,"R",168,"R",70,"R",42,"R",75,"R",45,"R",0,"R",168,"R",2,"R",0,"R",77,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
179557,"R",1578,"R",4,"R",1574,"R",470,"R",30,"R",785,"R",50,"R",1,"R",1573,"R",19,"R",0,"R",804,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
179566,"R",2699,"R",9,"R",2690,"R",885,"R",33,"R",1504,"R",56,"R",3,"R",2687,"R",61,"R",152,"R",1565,"R",58,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
179645,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",639,"R",2,"R",637,"R",119,"R",19,"R",186,"R",29,"R",2,"R",635,"R",29,"R",45,"R",215,"R",34
179715,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",324,"R",0,"R",324,"R",121,"R",37,"R",160,"R",49,"R",0,"R",324,"R",3,"R",5,"R",163,"R",50
179867,"R",1596,"R",10,"R",1586,"R",1411,"R",89,"R",1501,"R",95,"R",-10,"R",1596,"R",18,"R",4,"R",1519,"R",95,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
179894,"R",487,"R",0,"R",487,"R",186,"R",38,"R",282,"R",58,"R",0,"R",487,"R",8,"R",2,"R",290,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
179946,"R",259,"R",0,"R",259,"R",119,"R",46,"R",154,"R",59,"R",0,"R",259,"R",3,"R",0,"R",157,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
179955,"R",259,"R",0,"R",259,"R",137,"R",53,"R",156,"R",60,"Z",0,"R",259,"R",7,"R",0,"R",163,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
179964,"R",185,"R",0,"R",185,"R",87,"R",47,"R",107,"R",58,"R",0,"R",185,"R",0,"R",0,"R",107,"R",58,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
179991,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",19,"R",0,"R",19,"R",17,"R",89,"R",17,"R",89,"Z",0,"R",19,"R",0,"Z",0,"R",17,"R",89
180054,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",62,"R",1,"R",61,"R",12,"R",20,"R",15,"R",25,"R",0,"R",61,"R",9,"R",3,"R",24,"R",39
180063,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",33,"R",0,"R",33,"R",3,"R",9,"R",20,"R",61,"Z",0,"R",33,"R",0,"Z",0,"R",20,"R",61
180081,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",143,"R",1,"R",142,"R",25,"R",18,"R",30,"R",21,"R",0,"R",142,"R",5,"R",5,"R",35,"R",25
180090,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",43,"R",0,"R",43,"R",10,"R",23,"R",34,"R",79,"Z",0,"R",43,"R",0,"Z",0,"R",34,"R",79
180106,"R",315,"R",0,"R",315,"R",153,"R",49,"R",200,"R",63,"R",0,"R",315,"R",1,"R",0,"R",201,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180151,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",94,"R",0,"R",94,"R",27,"R",29,"R",33,"R",35,"R",0,"R",94,"R",1,"R",0,"R",34,"R",36
180160,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",22,"R",0,"R",22,"R",6,"R",27,"R",7,"R",32,"R",0,"R",22,"R",1,"R",5,"R",8,"R",36
180179,"R",417,"R",1,"R",416,"R",44,"R",11,"R",100,"R",24,"R",0,"R",416,"R",8,"R",7,"R",108,"R",26,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180197,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",280,"R",0,"R",280,"R",53,"R",19,"R",85,"R",30,"R",0,"R",280,"R",1,"R",10,"R",86,"R",31
180212,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",46,"R",0,"R",46,"R",4,"R",9,"R",7,"R",15,"R",0,"R",46,"R",2,"R",3,"R",9,"R",20
180249,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",123,"R",0,"R",123,"R",14,"R",11,"R",22,"R",18,"R",0,"R",123,"R",5,"R",12,"R",27,"R",22
180258,"R",147,"R",1,"R",146,"R",41,"R",28,"R",55,"R",38,"Z",0,"R",146,"R",0,"Z",0,"R",55,"R",38,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180276,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",156,"R",0,"R",156,"R",42,"R",27,"R",58,"R",37,"R",0,"R",156,"R",11,"R",11,"R",69,"R",44
180328,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",48,"R",0,"R",48,"R",8,"R",17,"R",12,"R",25,"R",0,"R",48,"R",1,"R",19,"R",13,"R",27
180373,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",130,"R",0,"R",130,"R",52,"R",40,"R",58,"R",45,"R",0,"R",130,"R",1,"R",0,"R",59,"R",45
180416,"R",240,"R",0,"R",240,"R",57,"R",24,"R",124,"R",52,"R",0,"R",240,"R",8,"R",3,"R",132,"R",55,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180461,"R",2308,"R",0,"R",2308,"R",621,"R",27,"R",1295,"R",56,"R",0,"R",2308,"R",75,"R",30,"R",1370,"R",59,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180489,"R",1346,"R",5,"R",1341,"R",406,"R",30,"R",653,"R",49,"R",0,"R",1341,"R",38,"R",21,"R",691,"R",52,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180522,"R",98,"R",0,"R",98,"R",19,"R",19,"R",26,"R",27,"R",0,"R",98,"R",2,"R",1,"R",28,"R",29,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180595,"R",237,"R",0,"R",237,"R",73,"R",31,"R",115,"R",49,"Z",0,"R",237,"R",0,"Z",0,"R",115,"R",49,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180647,"R",36,"R",0,"R",36,"R",5,"R",14,"R",9,"R",25,"R",0,"R",36,"R",8,"R",4,"R",17,"R",47,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180692,"R",152,"R",0,"R",152,"R",31,"R",20,"R",69,"R",45,"R",1,"R",151,"Z",0,"R",1,"R",69,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180814,"R",87,"R",0,"R",87,"R",8,"R",9,"R",21,"R",24,"R",0,"R",87,"R",0,"R",20,"R",21,"R",24,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180832,"R",19,"R",0,"R",19,"R",6,"R",32,"R",6,"R",32,"Z",0,"R",19,"R",0,"Z",0,"R",6,"R",32,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180878,"R",35,"R",0,"R",35,"R",13,"R",37,"R",16,"R",46,"Z",0,"R",35,"R",0,"Z",0,"R",16,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180902,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",561,"R",1,"R",560,"R",158,"R",28,"R",217,"R",39,"R",2,"R",558,"R",21,"R",38,"R",238,"R",43
180948,"R",458,"R",0,"R",458,"R",125,"R",27,"R",206,"R",45,"R",0,"R",458,"R",4,"R",2,"R",210,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
180957,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",42,"R",0,"R",42,"Z",0,"R",0,"R",41,"R",98,"Z",0,"R",42,"R",0,"Z",0,"R",41,"R",98
180984,"R",281,"R",0,"R",281,"R",129,"R",46,"R",180,"R",64,"Z",0,"R",281,"R",0,"Z",0,"R",180,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
181002,"R",961,"R",0,"R",961,"R",665,"R",69,"R",746,"R",78,"R",0,"R",961,"R",4,"R",0,"R",750,"R",78,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
181020,"R",287,"R",0,"R",287,"R",125,"R",44,"R",147,"R",51,"R",0,"R",287,"R",10,"R",1,"R",157,"R",55,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
181127,"R",345,"R",0,"R",345,"R",170,"R",49,"R",205,"R",59,"R",0,"R",345,"R",2,"R",7,"R",207,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
181190,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",54,"R",0,"R",54,"R",3,"R",6,"R",35,"R",65,"R",0,"R",54,"R",0,"R",0,"R",35,"R",65
181215,"R",812,"R",0,"R",812,"R",219,"R",27,"R",426,"R",52,"R",0,"R",812,"R",16,"R",4,"R",442,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
181297,"R",25,"R",0,"R",25,"R",11,"R",44,"R",15,"R",60,"Z",0,"R",25,"R",0,"Z",0,"R",15,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
181303,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",665,"R",0,"R",665,"R",56,"R",8,"R",109,"R",16,"R",0,"R",665,"R",67,"R",52,"R",176,"R",26
181312,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",321,"R",0,"R",321,"R",103,"R",32,"R",150,"R",47,"R",0,"R",321,"R",4,"R",6,"R",154,"R",48
181330,"R",367,"R",1,"R",366,"R",133,"R",36,"R",147,"R",40,"R",0,"R",366,"R",1,"R",0,"R",148,"R",40,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
181394,"R",1533,"R",0,"R",1533,"R",366,"R",24,"R",787,"R",51,"R",0,"R",1533,"R",45,"R",45,"R",832,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
181419,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",19,"R",2,"R",17,"R",2,"R",12,"R",2,"R",12,"R",0,"R",17,"R",2,"R",2,"R",4,"R",24
181446,"R",379,"R",0,"R",379,"R",210,"R",55,"R",245,"R",65,"R",0,"R",379,"R",3,"R",0,"R",248,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
181464,"R",4002,"R",4,"R",3998,"R",1648,"R",41,"R",2601,"R",65,"R",0,"R",3998,"R",61,"R",19,"R",2662,"R",67,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
181491,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",885,"R",0,"R",885,"R",382,"R",43,"R",465,"R",53,"R",0,"R",885,"R",48,"R",15,"R",513,"R",58
181534,"R",273,"R",0,"R",273,"R",57,"R",21,"R",94,"R",34,"R",0,"R",273,"R",3,"R",1,"R",97,"R",36,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
