UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
110246,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1308,"R",0,"R",1308,"R",140,"R",11,"R",296,"R",23,"R",0,"R",1308,"R",54,"R",68,"R",350,"R",27
110334,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",906,"R",0,"R",906,"R",85,"R",9,"R",272,"R",30,"R",0,"R",906,"R",76,"R",89,"R",348,"R",38
110361,"R",967,"R",0,"R",967,"R",414,"R",43,"R",609,"R",63,"R",0,"R",967,"R",24,"R",3,"R",633,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110370,"R",232,"R",0,"R",232,"R",96,"R",41,"R",148,"R",64,"R",0,"R",232,"R",3,"R",0,"R",151,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110404,"R",249,"R",0,"R",249,"R",210,"R",84,"R",233,"R",94,"R",0,"R",249,"R",3,"R",0,"R",236,"R",95,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110413,"R",540,"R",0,"R",540,"R",328,"R",61,"R",369,"R",68,"R",0,"R",540,"R",2,"R",0,"R",371,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110422,"R",4861,"R",0,"R",4861,"R",2459,"R",51,"R",3987,"R",82,"R",0,"R",4861,"R",83,"R",14,"R",4070,"R",84,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110468,"R",25,"R",0,"R",25,"Z",0,"R",0,"R",4,"R",16,"Z",0,"R",25,"R",0,"Z",0,"R",4,"R",16,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110486,"R",1324,"R",0,"R",1324,"R",215,"R",16,"R",569,"R",43,"R",0,"R",1324,"R",69,"R",45,"R",638,"R",48,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110495,"R",1181,"R",0,"R",1181,"R",219,"R",19,"R",693,"R",59,"R",0,"R",1181,"R",61,"R",22,"R",754,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110510,"R",2319,"R",0,"R",2319,"R",323,"R",14,"R",1275,"R",55,"R",0,"R",2319,"R",166,"R",36,"R",1441,"R",62,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110529,"R",3169,"R",0,"R",3169,"R",724,"R",23,"R",2198,"R",69,"R",0,"R",3169,"R",148,"R",40,"R",2346,"R",74,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110538,"R",2316,"R",0,"R",2316,"R",688,"R",30,"R",1560,"R",67,"R",0,"R",2316,"R",67,"R",11,"R",1627,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110547,"R",1460,"R",0,"R",1460,"R",120,"R",8,"R",649,"R",44,"R",0,"R",1460,"R",98,"R",40,"R",747,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110556,"R",3166,"R",0,"R",3166,"R",510,"R",16,"R",1781,"R",56,"R",0,"R",3166,"R",213,"R",59,"R",1994,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110565,"R",4512,"R",0,"R",4512,"R",1018,"R",23,"R",3112,"R",69,"R",0,"R",4512,"R",225,"R",61,"R",3337,"R",74,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110574,"R",1477,"R",0,"R",1477,"R",191,"R",13,"R",734,"R",50,"R",0,"R",1477,"R",73,"R",22,"R",807,"R",55,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
