UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
460969,"R",133,"R",0,"R",133,"R",4,"R",110,"R",4,"R",3,"R",16,"R",108,"Z",0,"R",108,"R",87,"R",3,"Z",0,"R",3,"R",2,"R",22,"Z",0,"R",22,"R",21
460978,"R",132,"R",0,"R",132,"R",18,"R",81,"R",0,"R",0,"R",51,"R",85,"Z",0,"R",85,"R",54,"R",20,"Z",0,"R",20,"R",16,"R",27,"Z",0,"R",27,"R",11
460987,"R",109,"R",0,"R",109,"R",31,"R",83,"R",0,"R",0,"R",26,"R",63,"Z",0,"R",63,"R",44,"R",17,"Z",0,"R",17,"R",14,"R",29,"Z",0,"R",29,"R",25
460996,"R",39,"R",0,"R",39,"R",26,"R",26,"R",0,"R",0,"R",13,"R",21,"Z",0,"R",21,"R",13,"R",3,"Z",0,"R",3,"R",3,"R",15,"Z",0,"R",15,"R",10
461087,"R",58,"Z",0,"R",58,"R",39,"R",39,"Z",0,"Z",0,"R",19,"R",29,"Z",0,"R",29,"R",29,"R",0,"Z",0,"R",0,"R",0,"R",29,"Z",0,"R",29,"R",10
461175,"R",219,"Z",0,"R",219,"R",16,"R",171,"Z",0,"R",22,"R",26,"R",27,"Z",0,"R",27,"R",22,"R",0,"Z",0,"R",0,"R",0,"R",192,"Z",0,"R",192,"R",149
461193,"R",74,"R",0,"R",74,"R",2,"R",49,"Z",0,"Z",0,"R",25,"R",46,"Z",0,"R",46,"R",29,"R",11,"Z",0,"R",11,"R",7,"R",17,"Z",0,"R",17,"R",13
461272,"R",13,"R",0,"R",13,"R",0,"R",11,"R",0,"R",0,"R",2,"R",5,"Z",0,"R",5,"R",4,"R",2,"Z",0,"R",2,"R",2,"R",6,"Z",0,"R",6,"R",5
461306,"R",110,"R",0,"R",110,"R",3,"R",8,"R",0,"R",90,"R",12,"R",48,"Z",0,"R",48,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",62,"Z",0,"R",62,"R",8
461342,"R",57,"R",0,"R",57,"R",50,"R",54,"R",3,"R",0,"R",0,"R",18,"Z",0,"R",18,"R",16,"R",8,"Z",0,"R",8,"R",8,"R",31,"Z",0,"R",31,"R",30
461379,"R",2,"R",0,"R",2,"R",1,"R",2,"R",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",1,"R",1,"R",0,"Z",0,"R",0,"R",0
461388,"R",49,"R",0,"R",49,"R",5,"R",16,"R",0,"R",0,"R",33,"R",44,"Z",0,"R",44,"R",11,"R",1,"Z",0,"R",1,"R",1,"R",4,"Z",0,"R",4,"R",4
461421,"R",63,"R",0,"R",63,"R",2,"R",39,"Z",0,"Z",0,"R",24,"R",46,"Z",0,"R",46,"R",30,"R",5,"Z",0,"R",5,"R",4,"R",12,"Z",0,"R",12,"R",5
461494,"R",52,"R",0,"R",52,"R",1,"R",36,"R",2,"R",0,"R",14,"R",28,"Z",0,"R",28,"R",21,"R",6,"Z",0,"R",6,"R",5,"R",18,"Z",0,"R",18,"R",10
461500,"R",4,"R",0,"R",4,"R",0,"R",3,"R",0,"R",0,"R",1,"R",3,"Z",0,"R",3,"R",2,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1
461537,"R",7,"R",0,"R",7,"R",1,"R",3,"R",0,"R",0,"R",4,"R",6,"Z",0,"R",6,"R",3,"R",1,"Z",0,"R",1,"R",0,"R",0,"Z",0,"R",0,"R",0
461555,"R",40,"R",0,"R",40,"R",2,"R",33,"R",0,"R",0,"R",7,"R",6,"Z",0,"R",6,"R",5,"R",18,"Z",0,"R",18,"R",14,"R",16,"Z",0,"R",16,"R",14
461582,"R",22,"R",0,"R",22,"R",4,"R",20,"R",0,"R",0,"R",2,"R",11,"Z",0,"R",11,"R",10,"R",2,"Z",0,"R",2,"R",2,"R",9,"Z",0,"R",9,"R",8
461607,"R",40,"R",0,"R",40,"R",5,"R",25,"R",0,"R",7,"R",8,"R",39,"Z",0,"R",39,"R",24,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1
461625,"R",6,"R",0,"R",6,"R",5,"R",5,"R",0,"R",0,"R",1,"R",5,"Z",0,"R",5,"R",5,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",0
461652,"R",25,"R",0,"R",25,"R",8,"R",24,"R",1,"R",0,"R",0,"R",14,"Z",0,"R",14,"R",14,"R",6,"Z",0,"R",6,"R",6,"R",5,"Z",0,"R",5,"R",4
461704,"R",104,"R",0,"R",104,"R",5,"R",85,"R",0,"R",0,"R",19,"R",63,"Z",0,"R",63,"R",62,"R",13,"Z",0,"R",13,"R",13,"R",28,"Z",0,"R",28,"R",10
461713,"R",28,"Z",0,"R",28,"R",6,"R",23,"Z",0,"Z",0,"R",5,"R",14,"Z",0,"R",14,"R",11,"R",2,"Z",0,"R",2,"R",1,"R",12,"Z",0,"R",12,"R",11
461722,"R",12,"R",0,"R",12,"R",1,"R",10,"R",0,"R",0,"R",2,"R",4,"Z",0,"R",4,"R",4,"R",3,"Z",0,"R",3,"R",3,"R",5,"Z",0,"R",5,"R",3
461740,"R",4,"R",0,"R",4,"R",0,"R",2,"R",0,"R",0,"R",2,"R",2,"Z",0,"R",2,"R",2,"R",2,"Z",0,"R",2,"R",0,"R",0,"Z",0,"R",0,"R",0
461768,"R",104,"R",0,"R",104,"R",10,"R",83,"R",0,"R",0,"R",21,"R",62,"Z",0,"R",62,"R",51,"R",11,"Z",0,"R",11,"R",8,"R",31,"Z",0,"R",31,"R",24
