UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
101435, 2,"R",991,"R",164,"R",184,"R",643
101435, 3,"R",986,"R",163,"R",184,"R",639
101435,11,"R",5,"R",1,"R",0,"R",4
101435,12,"R",4,"R",0,"R",0,"R",4
101453, 1,"R",150,"R",111,"R",18,"R",21
101453, 2,"R",99,"R",65,"R",15,"R",19
101453, 3,"R",96,"R",62,"R",15,"R",19
101453,11,"R",3,"R",3,"R",0,"R",0
101453,12,"R",51,"R",46,"R",3,"R",2
101462, 1,"R",1191,"R",190,"R",676,"R",325
101462, 2,"R",1191,"R",190,"R",676,"R",325
101462, 3,"R",891,"R",81,"R",586,"R",224
101462,11,"R",300,"R",109,"R",90,"R",101
101471, 1,"R",626,"A",,"A",,"R",626
101471, 2,"R",626,"A",,"A",,"R",626
101471, 3,"R",626,"A",,"A",,"R",626
101480, 1,"R",10752,"R",3018,"R",6402,"R",1332
101480, 2,"R",8904,"R",1749,"R",5885,"R",1270
101480, 3,"R",7408,"R",1187,"R",5665,"R",556
101480,11,"R",1496,"R",562,"R",220,"R",714
101480,12,"R",1848,"R",1269,"R",517,"R",62
101505, 1,"R",12293,"R",9108,"R",1595,"R",1590
101505, 2,"R",12293,"R",9108,"R",1595,"R",1590
101505, 3,"R",8398,"R",6543,"R",1304,"R",551
101505,11,"R",3895,"R",2565,"R",291,"R",1039
101514, 1,"R",12424,"R",8265,"R",2130,"R",2029
101514, 2,"R",12424,"R",8265,"R",2130,"R",2029
101514, 3,"R",8807,"R",6022,"R",1799,"R",986
101514,11,"R",3617,"R",2243,"R",331,"R",1043
101569, 1,"R",4239,"R",2651,"R",1071,"R",517
101569, 2,"R",4239,"R",2651,"R",1071,"R",517
101569, 3,"R",3618,"R",2117,"R",1041,"R",460
101569,11,"R",621,"R",534,"R",30,"R",57
101587, 1,"R",8711,"R",7070,"R",1146,"R",495
101587, 2,"R",2900,"R",1397,"R",1017,"R",486
101587, 3,"R",2872,"R",1381,"R",1005,"R",486
101587,11,"R",28,"R",16,"R",12,"R",0
101587,12,"R",5811,"R",5673,"R",129,"R",9
101602, 1,"R",2295,"R",465,"R",1107,"R",723
101602, 2,"R",2295,"R",465,"R",1107,"R",723
101602, 3,"R",1478,"R",232,"R",889,"R",357
101602,11,"R",817,"R",233,"R",218,"R",366
101648, 1,"R",423,"R",0,"R",188,"R",235
101648, 2,"R",423,"R",0,"R",188,"R",235
101648, 3,"R",423,"R",0,"R",188,"R",235
101675, 1,"R",1649,"R",200,"R",136,"R",1313
101675, 2,"R",1649,"R",200,"R",136,"R",1313
101675, 3,"R",1644,"R",199,"R",136,"R",1309
101675,11,"R",5,"R",1,"R",0,"R",4
101693, 1,"R",2108,"R",283,"R",624,"R",1201
101693, 2,"R",1818,"R",138,"R",581,"R",1099
101693, 3,"R",1227,"R",113,"R",466,"R",648
101693,11,"R",591,"R",25,"R",115,"R",451
101693,12,"R",290,"R",145,"R",43,"R",102
101709, 1,"R",2960,"R",482,"R",2298,"R",180
101709, 2,"R",2476,"R",352,"R",1959,"R",165
