UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
161800, 3,"C",165,"A",,"A",,"C",165
161855, 1,"R",66,"A",,"A",,"R",66
161855, 2,"R",66,"A",,"A",,"R",66
161855, 3,"C",66,"A",,"A",,"C",66
161864, 1,"R",5991,"R",5991,"Z",0,"R",0
161864, 2,"R",5991,"R",5991,"Z",0,"R",0
161864, 3,"R",5391,"R",5391,"Z",0,"R",0
161864,11,"R",600,"R",600,"Z",0,"R",0
161873, 1,"R",4780,"R",4780,"R",0,"R",0
161873, 2,"R",2245,"R",2245,"R",0,"R",0
161873, 3,"R",2155,"R",2155,"R",0,"R",0
161873,11,"R",90,"R",90,"R",0,"R",0
161873,12,"R",2535,"R",2535,"R",0,"R",0
162007, 1,"R",6994,"R",5028,"R",1428,"R",538
162007, 2,"R",5853,"R",4169,"R",1371,"R",313
162007, 3,"R",5710,"R",4085,"R",1363,"R",262
162007,11,"R",143,"R",84,"R",8,"R",51
162007,12,"R",1141,"R",859,"R",57,"R",225
162061, 1,"R",1051,"R",656,"R",386,"R",9
162061, 2,"R",399,"R",124,"R",273,"R",2
162061, 3,"R",391,"R",118,"R",273,"R",0
162061,11,"R",8,"R",6,"R",0,"R",2
162061,12,"R",652,"R",532,"R",113,"R",7
162104, 1,"R",2699,"R",582,"R",1750,"R",367
162104, 2,"R",2699,"R",582,"R",1750,"R",367
162104, 3,"R",2418,"R",504,"R",1624,"R",290
162104,11,"R",281,"R",78,"R",126,"R",77
162122, 1,"R",8970,"R",7413,"R",1032,"R",525
162122, 2,"R",8970,"R",7413,"R",1032,"R",525
162122, 3,"R",7299,"R",6277,"R",886,"R",136
162122,11,"R",1671,"R",1136,"R",146,"R",389
162168, 1,"R",2507,"R",2357,"R",66,"R",84
162168, 2,"R",2507,"R",2357,"R",66,"R",84
162168, 3,"R",1830,"R",1714,"R",54,"R",62
162168,11,"R",677,"R",643,"R",12,"R",22
162210, 1,"R",1129,"R",564,"R",358,"R",207
162210, 2,"R",982,"R",427,"R",356,"R",199
162210, 3,"R",864,"R",410,"R",353,"R",101
162210,11,"R",118,"R",17,"R",3,"R",98
162210,12,"R",147,"R",137,"R",2,"R",8
162283, 1,"R",2573,"R",170,"R",1192,"R",1211
162283, 2,"R",2278,"R",144,"R",1109,"R",1025
162283, 3,"R",2236,"R",141,"R",1093,"R",1002
162283,11,"R",42,"R",3,"R",16,"R",23
162283,12,"R",295,"R",26,"R",83,"R",186
162335, 1,"R",60,"A",,"A",,"R",60
162335, 2,"R",60,"A",,"A",,"R",60
162335, 3,"C",60,"A",,"A",,"C",60
162371, 1,"R",970,"A",,"A",,"R",970
162371, 2,"R",970,"A",,"A",,"R",970
162371, 3,"C",970,"A",,"A",,"C",970
162557, 1,"R",7245,"R",1896,"R",2449,"R",2900
162557, 2,"R",7245,"R",1896,"R",2449,"R",2900
162557, 3,"R",4739,"R",1580,"R",2217,"R",942
162557,11,"R",2506,"R",316,"R",232,"R",1958
162584, 1,"R",5432,"R",1421,"R",3676,"R",335
162584, 2,"R",4528,"R",790,"R",3486,"R",252
162584, 3,"R",4101,"R",759,"R",3140,"R",202
162584,11,"R",427,"R",31,"R",346,"R",50
162584,12,"R",904,"R",631,"R",190,"R",83
162609, 1,"R",785,"R",241,"R",419,"R",125
162609, 2,"R",785,"R",241,"R",419,"R",125
162609, 3,"R",489,"R",78,"R",387,"R",24
162609,11,"R",296,"R",163,"R",32,"R",101
162654, 1,"R",3307,"R",2039,"R",22,"R",1246
162654, 2,"R",1178,"R",13,"R",13,"R",1152
162654, 3,"R",1161,"R",3,"R",13,"R",1145
162654,11,"R",17,"R",10,"Z",0,"R",7
162654,12,"R",2129,"R",2026,"R",9,"R",94
162690, 1,"R",4996,"R",2932,"R",1385,"R",679
162690, 2,"R",4996,"R",2932,"R",1385,"R",679
162690, 3,"R",3625,"R",2417,"R",1129,"R",79
162690,11,"R",1371,"R",515,"R",256,"R",600
162706, 1,"R",7054,"R",5789,"R",722,"R",543
162706, 2,"R",7054,"R",5789,"R",722,"R",543
162706, 3,"R",5203,"R",4287,"R",623,"R",293
162706,11,"R",1851,"R",1502,"R",99,"R",250
162760, 1,"R",2341,"R",201,"R",1447,"R",693
162760, 2,"R",1269,"R",26,"R",1019,"R",224
162760, 3,"R",1226,"R",5,"R",1013,"R",208
162760,11,"R",43,"R",21,"R",6,"R",16
162760,12,"R",1072,"R",175,"R",428,"R",469
162779, 1,"R",13909,"R",5881,"R",4766,"R",3262
162779, 2,"R",13909,"R",5881,"R",4766,"R",3262
162779, 3,"R",11108,"R",4975,"R",4225,"R",1908
162779,11,"R",2801,"R",906,"R",541,"R",1354
162830, 1,"R",251,"A",,"A",,"R",251
162830, 2,"R",251,"A",,"A",,"R",251
162830, 3,"C",251,"A",,"A",,"C",251
162928, 1,"R",37450,"R",17940,"R",13255,"R",6255
162928, 2,"R",8491,"R",3124,"R",4102,"R",1265
162928, 3,"R",5838,"R",1760,"R",4059,"R",19
162928,11,"R",2653,"R",1364,"R",43,"R",1246
162928,12,"R",28959,"R",14816,"R",9153,"R",4990
163028, 1,"R",1308,"A",,"A",,"R",1308
163028, 2,"R",1308,"A",,"A",,"R",1308
163028, 3,"R",1308,"A",,"A",,"R",1308
163046, 1,"R",5915,"R",5915,"Z",0,"R",0
163046, 2,"R",3931,"R",3931,"Z",0,"R",0
163046, 3,"R",3905,"R",3905,"Z",0,"R",0
163046,11,"R",26,"R",26,"Z",0,"R",0
163046,12,"R",1984,"R",1984,"Z",0,"R",0
163204, 1,"R",88900,"R",71111,"R",10654,"R",7135
163204, 2,"R",72014,"R",56069,"R",10038,"R",5907
163204, 3,"R",66498,"R",52811,"R",9563,"R",4124
163204,11,"R",5516,"R",3258,"R",475,"R",1783
163204,12,"R",16886,"R",15042,"R",616,"R",1228
163259, 1,"R",7997,"R",2167,"R",2396,"R",3434
163259, 2,"R",1163,"R",296,"R",616,"R",251
163259, 3,"R",1096,"R",229,"R",616,"R",251
163259,11,"R",67,"R",67,"R",0,"R",0
163259,12,"R",6834,"R",1871,"R",1780,"R",3183
163268, 1,"R",15358,"R",11657,"R",3641,"R",60
163268, 2,"R",12200,"R",9121,"R",3065,"R",14
163268, 3,"R",11774,"R",8714,"R",3051,"R",9
163268,11,"R",426,"R",407,"R",14,"R",5
163268,12,"R",3158,"R",2536,"R",576,"R",46
163286, 1,"R",44529,"R",25921,"R",15560,"R",3048
163286, 2,"R",33315,"R",20815,"R",12183,"R",317
163286, 3,"R",31974,"R",20138,"R",11713,"R",123
163286,11,"R",1341,"R",677,"R",470,"R",194
163286,12,"R",11214,"R",5106,"R",3377,"R",2731
163295, 1,"R",2354,"R",2354,"R",0,"R",0
163295, 2,"R",1677,"R",1677,"R",0,"R",0
163295, 3,"R",1672,"R",1672,"R",0,"R",0
163295,11,"R",5,"R",5,"R",0,"R",0
163295,12,"R",677,"R",677,"R",0,"R",0
163338, 1,"R",2946,"R",424,"R",1257,"R",1265
163338, 2,"R",2297,"R",352,"R",1218,"R",727
163338, 3,"R",2152,"R",311,"R",1207,"R",634
163338,11,"R",145,"R",41,"R",11,"R",93
163338,12,"R",649,"R",72,"R",39,"R",538
163347, 1,"R",1009,"A",,"A",,"R",1009
163347, 2,"R",1009,"A",,"A",,"R",1009
163347, 3,"C",1009,"A",,"A",,"C",1009
163408, 1,"R",150,"A",,"A",,"R",150
163408, 2,"R",150,"A",,"A",,"R",150
163408, 3,"C",150,"A",,"A",,"C",150
163426, 1,"R",27868,"R",20076,"R",5535,"R",2257
163426, 2,"R",27868,"R",20076,"R",5535,"R",2257
163426, 3,"R",22106,"R",15493,"R",4692,"R",1921
163426,11,"R",5762,"R",4583,"R",843,"R",336
163453, 1,"R",8294,"R",434,"R",3820,"R",4040
163453, 2,"R",6771,"R",182,"R",3479,"R",3110
163453, 3,"R",6740,"R",181,"R",3477,"R",3082
163453,11,"R",31,"R",1,"R",2,"R",28
163453,12,"R",1523,"R",252,"R",341,"R",930
163462, 1,"R",2784,"R",233,"R",2156,"R",395
163462, 2,"R",2191,"R",90,"R",1882,"R",219
163462, 3,"R",2104,"R",64,"R",1842,"R",198
163462,11,"R",87,"R",26,"R",40,"R",21
163462,12,"R",593,"R",143,"R",274,"R",176
163532, 1,"R",516,"A",,"A",,"R",516
163532, 2,"R",345,"A",,"A",,"R",345
163532, 3,"R",345,"A",,"A",,"R",345
163532,12,"R",171,"A",,"A",,"R",171
163541, 1,"R",523,"A",,"A",,"R",523
163541, 2,"R",523,"A",,"A",,"R",523
163541, 3,"C",523,"A",,"A",,"C",523
163578, 1,"R",3105,"R",819,"R",1371,"R",915
163578, 2,"R",1074,"R",144,"R",598,"R",332
163578, 3,"R",930,"R",143,"R",595,"R",192
163578,11,"R",144,"R",1,"R",3,"R",140
163578,12,"R",2031,"R",675,"R",773,"R",583
163657, 1,"R",16951,"R",15939,"R",752,"R",260
163657, 2,"R",16951,"R",15939,"R",752,"R",260
163657, 3,"R",12724,"R",11801,"R",703,"R",220
163657,11,"R",4227,"R",4138,"R",49,"R",40
163815, 1,"R",67,"A",,"A",,"R",67
163815, 2,"R",67,"A",,"A",,"R",67
163815, 3,"C",67,"A",,"A",,"C",67
163851, 1,"R",8759,"R",2730,"R",5633,"R",396
163851, 2,"R",7640,"R",1735,"R",5555,"R",350
163851, 3,"R",7385,"R",1579,"R",5524,"R",282
163851,11,"R",255,"R",156,"R",31,"R",68
163851,12,"R",1119,"R",995,"R",78,"R",46
163912, 1,"R",1647,"R",66,"R",1457,"R",124
163912, 2,"R",1617,"R",36,"R",1457,"R",124
163912, 3,"R",1571,"R",25,"R",1452,"R",94
163912,11,"R",46,"R",11,"R",5,"R",30
163912,12,"R",30,"R",30,"R",0,"R",0
163976, 1,"R",560,"R",73,"R",410,"R",77
163976, 2,"R",428,"R",31,"R",363,"R",34
163976, 3,"R",428,"R",31,"R",363,"R",34
163976,12,"R",132,"R",42,"R",47,"R",43
164076, 1,"R",24486,"R",21341,"R",2562,"R",583
164076, 2,"R",20747,"R",18117,"R",2207,"R",423
164076, 3,"R",20303,"R",17892,"R",2182,"R",229
164076,11,"R",444,"R",225,"R",25,"R",194
164076,12,"R",3739,"R",3224,"R",355,"R",160
164085, 1,"R",1266,"R",770,"R",306,"R",190
164085,12,"R",1266,"R",770,"R",306,"R",190
164155, 1,"R",4594,"A",,"A",,"R",4594
164155, 2,"R",4594,"A",,"A",,"R",4594
164155, 3,"R",4594,"A",,"A",,"R",4594
164173, 1,"R",4157,"R",1358,"R",2079,"R",720
164173, 2,"R",3404,"R",611,"R",2073,"R",720
164173, 3,"R",3379,"R",605,"R",2071,"R",703
164173,11,"R",25,"R",6,"R",2,"R",17
164173,12,"R",753,"R",747,"R",6,"R",0
164216, 1,"R",1137,"R",0,"R",1137,"R",0
164216, 2,"R",1137,"R",0,"R",1137,"R",0
164216, 3,"R",1128,"R",0,"R",1128,"R",0
164216,11,"R",9,"R",0,"R",9,"R",0
164270, 1,"R",3535,"R",1676,"R",1859,"R",0
164270, 2,"R",1859,"R",0,"R",1859,"R",0
164270, 3,"R",1839,"R",0,"R",1839,"R",0
164270,11,"R",20,"R",0,"R",20,"R",0
164270,12,"R",1676,"R",1676,"R",0,"R",0
164313, 1,"R",3661,"R",1524,"R",1624,"R",513
164313, 2,"R",3661,"R",1524,"R",1624,"R",513
164313, 3,"R",2922,"R",1114,"R",1423,"R",385
164313,11,"R",739,"R",410,"R",201,"R",128
164368, 1,"R",2749,"R",1085,"R",720,"R",944
164368, 2,"R",802,"R",366,"R",405,"R",31
164368, 3,"R",802,"R",366,"R",405,"R",31
164368,12,"R",1947,"R",719,"R",315,"R",913
164447, 1,"R",2962,"R",90,"R",104,"R",2768
164447, 2,"R",1437,"R",16,"R",0,"R",1421
164447, 3,"R",1403,"R",16,"R",0,"R",1387
164447,11,"R",34,"R",0,"R",0,"R",34
164447,12,"R",1525,"R",74,"R",104,"R",1347
164465, 1,"R",1863,"R",845,"R",1018,"R",0
164465, 2,"R",1863,"R",845,"R",1018,"R",0
164465, 3,"R",1863,"R",845,"R",1018,"R",0
164492, 1,"R",1793,"R",477,"R",0,"R",1316
164492, 2,"R",1220,"R",224,"R",0,"R",996
164492, 3,"R",1209,"R",224,"R",0,"R",985
164492,11,"R",11,"Z",0,"Z",0,"R",11
164492,12,"R",573,"R",253,"R",0,"R",320
164535, 1,"R",46,"A",,"A",,"R",46
164535, 2,"R",46,"A",,"A",,"R",46
164535, 3,"R",46,"A",,"A",,"R",46
164562, 1,"R",2670,"R",639,"R",2014,"R",17
164562, 2,"R",2122,"R",91,"R",2014,"R",17
164562, 3,"R",2066,"R",71,"R",1989,"R",6
164562,11,"R",56,"R",20,"R",25,"R",11
164562,12,"R",548,"R",548,"Z",0,"R",0
164580, 1,"R",3877,"R",247,"R",3352,"R",278
164580, 2,"R",2708,"R",47,"R",2515,"R",146
164580, 3,"R",2657,"R",44,"R",2504,"R",109
164580,11,"R",51,"R",3,"R",11,"R",37
164580,12,"R",1169,"R",200,"R",837,"R",132
164599, 1,"R",69,"A",,"A",,"R",69
164599, 2,"R",69,"A",,"A",,"R",69
164599, 3,"C",69,"A",,"A",,"C",69
164614, 1,"R",65,"R",1,"R",6,"R",58
164614, 2,"R",65,"R",1,"R",6,"R",58
164614, 3,"R",49,"R",1,"R",6,"R",42
164614,11,"R",16,"R",0,"R",0,"R",16
164632, 1,"R",4280,"R",3807,"R",472,"R",1
164632, 2,"R",2100,"R",1859,"R",240,"R",1
164632, 3,"R",1926,"R",1685,"R",240,"R",1
164632,11,"R",174,"R",174,"R",0,"R",0
164632,12,"R",2180,"R",1948,"R",232,"R",0
164641, 1,"R",646,"R",88,"R",480,"R",78
164641, 2,"R",646,"R",88,"R",480,"R",78
164641, 3,"R",623,"R",79,"R",469,"R",75
164641,11,"R",23,"R",9,"R",11,"R",3
164739, 1,"R",5541,"R",121,"Z",0,"R",5420
164739, 2,"R",4166,"R",5,"Z",0,"R",4161
164739, 3,"R",4166,"R",5,"Z",0,"R",4161
164739,12,"R",1375,"R",116,"Z",0,"R",1259
164748, 1,"R",8601,"R",3208,"R",5387,"R",6
164748, 2,"R",7781,"R",2776,"R",5002,"R",3
164748, 3,"R",7687,"R",2749,"R",4937,"R",1
164748,11,"R",94,"R",27,"R",65,"R",2
164748,12,"R",820,"R",432,"R",385,"R",3
164775, 1,"R",1962,"R",1163,"R",502,"R",297
164775, 2,"R",1962,"R",1163,"R",502,"R",297
164775, 3,"R",1498,"R",848,"R",474,"R",176
164775,11,"R",464,"R",315,"R",28,"R",121
164845, 1,"R",174,"A",,"A",,"R",174
164845, 2,"R",174,"A",,"A",,"R",174
164845, 3,"C",174,"A",,"A",,"C",174
164872, 1,"R",964,"R",964,"R",0,"R",0
164872, 2,"R",473,"R",473,"R",0,"R",0
164872, 3,"R",272,"R",272,"R",0,"R",0
164872,11,"R",201,"R",201,"R",0,"R",0
164872,12,"R",491,"R",491,"R",0,"R",0
164915, 1,"R",179,"R",179,"Z",0,"R",0
164915,12,"R",179,"R",179,"Z",0,"R",0
164924, 1,"R",16198,"R",1934,"R",11410,"R",2854
164924, 2,"R",9980,"R",471,"R",8934,"R",575
164924, 3,"R",9837,"R",367,"R",8910,"R",560
164924,11,"R",143,"R",104,"R",24,"R",15
164924,12,"R",6218,"R",1463,"R",2476,"R",2279
164988, 1,"R",40492,"R",4782,"R",3180,"R",32530
164988, 2,"R",20204,"R",283,"R",822,"R",19099
164988, 3,"R",18261,"R",89,"R",793,"R",17379
164988,11,"R",1943,"R",194,"R",29,"R",1720
164988,12,"R",20288,"R",4499,"R",2358,"R",13431
165015, 1,"R",6926,"R",1517,"R",4256,"R",1153
165015, 2,"R",4584,"R",694,"R",3102,"R",788
165015, 3,"R",4503,"R",619,"R",3101,"R",783
165015,11,"R",81,"R",75,"R",1,"R",5
165015,12,"R",2342,"R",823,"R",1154,"R",365
165024, 1,"R",12652,"R",385,"R",4069,"R",8198
165024, 2,"R",10402,"R",210,"R",3744,"R",6448
165024, 3,"R",9494,"R",185,"R",3721,"R",5588
165024,11,"R",908,"R",25,"R",23,"R",860
165024,12,"R",2250,"R",175,"R",325,"R",1750
165033, 1,"R",8925,"R",8322,"R",567,"R",36
165033, 2,"R",8925,"R",8322,"R",567,"R",36
165033, 3,"R",6978,"R",6404,"R",550,"R",24
165033,11,"R",1947,"R",1918,"R",17,"R",12
165060, 1,"R",380,"R",0,"R",380,"R",0
165060, 2,"R",380,"R",0,"R",380,"R",0
165060, 3,"C",380,"C",0,"C",380,"C",0
165112, 1,"R",14143,"R",13044,"R",937,"R",162
165112, 2,"R",14143,"R",13044,"R",937,"R",162
165112, 3,"R",10965,"R",10002,"R",869,"R",94
165112,11,"R",3178,"R",3042,"R",68,"R",68
165167, 1,"R",3947,"R",1182,"R",966,"R",1799
165167, 2,"R",1658,"R",866,"R",271,"R",521
165167, 3,"R",1369,"R",594,"R",262,"R",513
165167,11,"R",289,"R",272,"R",9,"R",8
165167,12,"R",2289,"R",316,"R",695,"R",1278
165194, 1,"R",4216,"R",1112,"R",1710,"R",1394
165194, 2,"R",4216,"R",1112,"R",1710,"R",1394
165194, 3,"R",2941,"R",463,"R",1493,"R",985
165194,11,"R",1275,"R",649,"R",217,"R",409
165255, 1,"R",327,"A",,"A",,"R",327
165255, 2,"R",327,"A",,"A",,"R",327
165255, 3,"C",327,"A",,"A",,"C",327
165264, 1,"R",1760,"R",1004,"R",562,"R",194
165264, 2,"R",1760,"R",1004,"R",562,"R",194
165264, 3,"R",1747,"R",991,"R",562,"R",194
165264,11,"R",13,"R",13,"Z",0,"R",0
165334, 1,"R",3766,"R",973,"R",2751,"R",42
165334, 2,"R",2351,"R",503,"R",1843,"R",5
165334, 3,"R",2296,"R",491,"R",1800,"R",5
165334,11,"R",55,"R",12,"R",43,"R",0
165334,12,"R",1415,"R",470,"R",908,"R",37
165495, 1,"R",9,"R",9,"Z",0,"R",0
165495,12,"R",9,"R",9,"Z",0,"R",0
165529, 1,"R",2825,"R",85,"R",2434,"R",306
165529, 2,"R",2594,"R",81,"R",2244,"R",269
165529, 3,"R",2455,"R",81,"R",2122,"R",252
165529,11,"R",139,"R",0,"R",122,"R",17
165529,12,"R",231,"R",4,"R",190,"R",37
165556, 1,"R",807,"A",,"A",,"R",807
165556, 2,"R",807,"A",,"A",,"R",807
165556, 3,"C",807,"A",,"A",,"C",807
165574, 1,"R",1401,"R",493,"R",908,"R",0
165574, 2,"R",1401,"R",493,"R",908,"R",0
165574, 3,"R",1324,"R",416,"R",908,"R",0
165574,11,"R",77,"R",77,"Z",0,"R",0
165608, 1,"R",54,"A",,"A",,"R",54
165608, 2,"R",54,"A",,"A",,"R",54
165608, 3,"R",54,"A",,"A",,"R",54
165635, 1,"R",375,"A",,"A",,"R",375
165635, 2,"R",375,"A",,"A",,"R",375
165635, 3,"C",375,"A",,"A",,"C",375
165644, 1,"R",786,"R",132,"R",363,"R",291
165644, 2,"R",580,"R",110,"R",305,"R",165
165644, 3,"R",576,"R",109,"R",305,"R",162
165644,11,"R",4,"R",1,"R",0,"R",3
165644,12,"R",206,"R",22,"R",58,"R",126
165662, 1,"R",5883,"R",1072,"R",2444,"R",2367
165662, 2,"R",4050,"Z",0,"R",1721,"R",2329
165662, 3,"R",4013,"Z",0,"R",1692,"R",2321
165662,11,"R",37,"Z",0,"R",29,"R",8
165662,12,"R",1833,"R",1072,"R",723,"R",38
165671, 1,"R",2156,"R",1116,"R",1038,"R",2
165671, 2,"R",2000,"R",960,"R",1038,"R",2
165671, 3,"R",1856,"R",816,"R",1038,"R",2
165671,11,"R",144,"R",144,"R",0,"R",0
165671,12,"R",156,"R",156,"R",0,"R",0
165699, 1,"R",5081,"R",1294,"R",1989,"R",1798
165699, 2,"R",3394,"R",126,"R",1624,"R",1644
165699, 3,"R",3253,"R",108,"R",1623,"R",1522
165699,11,"R",141,"R",18,"R",1,"R",122
165699,12,"R",1687,"R",1168,"R",365,"R",154
165750, 1,"R",124,"A",,"A",,"R",124
165750, 2,"R",124,"A",,"A",,"R",124
165750, 3,"C",124,"A",,"A",,"C",124
165802, 1,"R",2299,"R",1438,"R",440,"R",421
165802, 2,"R",2127,"R",1394,"R",394,"R",339
165802, 3,"R",1482,"R",770,"R",374,"R",338
165802,11,"R",645,"R",624,"R",20,"R",1
165802,12,"R",172,"R",44,"R",46,"R",82
165820, 1,"R",10165,"R",5282,"R",4272,"R",611
165820, 2,"R",4582,"R",1317,"R",3204,"R",61
165820, 3,"R",3972,"R",836,"R",3087,"R",49
165820,11,"R",610,"R",481,"R",117,"R",12
165820,12,"R",5583,"R",3965,"R",1068,"R",550
165866, 1,"R",7568,"R",6153,"R",1411,"R",4
165866, 2,"R",4335,"R",2951,"R",1380,"R",4
165866, 3,"R",3667,"R",2295,"R",1369,"R",3
165866,11,"R",668,"R",656,"R",11,"R",1
165866,12,"R",3233,"R",3202,"R",31,"R",0
165884, 1,"R",1093,"R",501,"R",485,"R",107
165884, 2,"R",1093,"R",501,"R",485,"R",107
165884, 3,"R",655,"R",151,"R",447,"R",57
165884,11,"R",438,"R",350,"R",38,"R",50
165936, 1,"R",2263,"R",506,"R",1351,"R",406
165936, 2,"R",1538,"R",59,"R",1204,"R",275
165936, 3,"R",1483,"R",18,"R",1199,"R",266
165936,11,"R",55,"R",41,"R",5,"R",9
165936,12,"R",725,"R",447,"R",147,"R",131
165945, 1,"R",1804,"R",126,"R",449,"R",1229
165945,12,"R",1804,"R",126,"R",449,"R",1229
165981, 1,"R",2268,"R",1964,"R",156,"R",148
165981, 2,"R",2268,"R",1964,"R",156,"R",148
165981, 3,"R",1456,"R",1203,"R",134,"R",119
165981,11,"R",812,"R",761,"R",22,"R",29
166018, 1,"R",557,"R",385,"R",152,"R",20
166018, 2,"R",557,"R",385,"R",152,"R",20
166018, 3,"R",551,"R",379,"R",152,"R",20
166018,11,"R",6,"R",6,"R",0,"R",0
166027, 1,"R",39981,"R",37397,"R",1726,"R",858
166027, 2,"R",13188,"R",13182,"R",2,"R",4
166027, 3,"R",6594,"R",6590,"R",2,"R",2
166027,11,"R",6594,"R",6592,"R",0,"R",2
166027,12,"R",26793,"R",24215,"R",1724,"R",854
166045, 1,"R",139,"R",29,"R",83,"R",27
166045, 2,"R",27,"Z",0,"Z",0,"R",27
166045,11,"R",27,"Z",0,"Z",0,"R",27
166045,12,"R",112,"R",29,"R",83,"R",0
166054, 1,"R",143,"A",,"A",,"R",143
166054, 2,"R",48,"A",,"A",,"R",48
166054, 3,"R",47,"A",,"A",,"R",47
166054,11,"R",1,"A",,"A",,"R",1
166054,12,"R",95,"A",,"A",,"R",95
166124, 1,"R",3051,"A",,"A",,"R",3051
166124, 2,"R",3051,"A",,"A",,"R",3051
166124, 3,"R",3047,"A",,"A",,"R",3047
166124,11,"R",4,"A",,"A",,"R",4
166133, 1,"R",5496,"R",1463,"R",2721,"R",1312
166133, 2,"R",5496,"R",1463,"R",2721,"R",1312
166133, 3,"R",4392,"R",993,"R",2523,"R",876
166133,11,"R",1104,"R",470,"R",198,"R",436
166391, 1,"R",2416,"R",1221,"R",1088,"R",107
166391, 2,"R",1714,"R",662,"R",971,"R",81
166391, 3,"R",1547,"R",566,"R",971,"R",10
166391,11,"R",167,"R",96,"R",0,"R",71
166391,12,"R",702,"R",559,"R",117,"R",26
166407, 1,"R",383,"A",,"A",,"R",383
166407, 2,"R",383,"A",,"A",,"R",383
166407, 3,"R",383,"A",,"A",,"R",383
166452, 1,"R",5325,"R",5325,"R",0,"R",0
166452, 2,"R",2145,"R",2145,"R",0,"R",0
166452, 3,"R",2088,"R",2088,"R",0,"R",0
166452,11,"R",57,"R",57,"R",0,"R",0
166452,12,"R",3180,"R",3180,"R",0,"R",0
166489, 1,"R",235,"R",0,"R",63,"R",172
166489, 2,"R",46,"R",0,"R",13,"R",33
166489, 3,"R",46,"R",0,"R",13,"R",33
166489,12,"R",189,"R",0,"R",50,"R",139
166498, 1,"R",129,"A",,"A",,"R",129
166498, 2,"R",129,"A",,"A",,"R",129
166498, 3,"C",129,"A",,"A",,"C",129
166513, 1,"R",22559,"R",18986,"R",2523,"R",1050
166513, 2,"R",16709,"R",13763,"R",2239,"R",707
166513, 3,"R",15026,"R",12642,"R",2169,"R",215
166513,11,"R",1683,"R",1121,"R",70,"R",492
166513,12,"R",5850,"R",5223,"R",284,"R",343
166629, 1,"R",36827,"R",26090,"R",9612,"R",1125
166629, 2,"R",27655,"R",20535,"R",7105,"R",15
166629, 3,"R",25639,"R",18527,"R",7101,"R",11
166629,11,"R",2016,"R",2008,"R",4,"R",4
166629,12,"R",9172,"R",5555,"R",2507,"R",1110
166638, 1,"R",19398,"R",19217,"R",176,"R",5
166638, 2,"R",15432,"R",15265,"R",164,"R",3
166638, 3,"R",13840,"R",13673,"R",164,"R",3
166638,11,"R",1592,"R",1592,"R",0,"R",0
166638,12,"R",3966,"R",3952,"R",12,"R",2
166647, 1,"R",6236,"R",5793,"R",333,"R",110
166647, 2,"R",6236,"R",5793,"R",333,"R",110
166647, 3,"R",3740,"R",3437,"R",264,"R",39
166647,11,"R",2496,"R",2356,"R",69,"R",71
166656, 1,"R",9543,"R",2946,"R",3652,"R",2945
166656, 2,"R",5545,"R",1420,"R",2795,"R",1330
166656, 3,"R",4112,"R",14,"R",2781,"R",1317
166656,11,"R",1433,"R",1406,"R",14,"R",13
166656,12,"R",3998,"R",1526,"R",857,"R",1615
166674, 1,"R",2117,"Z",0,"R",2069,"R",48
166674, 2,"R",1963,"Z",0,"R",1917,"R",46
166674, 3,"R",1782,"Z",0,"R",1756,"R",26
166674,11,"R",181,"Z",0,"R",161,"R",20
166674,12,"R",154,"Z",0,"R",152,"R",2
166683, 1,"R",12217,"R",5942,"R",6275,"R",0
166683, 2,"R",4500,"R",1697,"R",2803,"R",0
166683, 3,"R",4498,"R",1695,"R",2803,"R",0
166683,11,"R",2,"R",2,"R",0,"R",0
166683,12,"R",7717,"R",4245,"R",3472,"R",0
166692, 1,"R",1742,"R",314,"R",1417,"R",11
166692, 2,"R",1636,"R",208,"R",1417,"R",11
166692, 3,"R",1572,"R",149,"R",1415,"R",8
166692,11,"R",64,"R",59,"R",2,"R",3
166692,12,"R",106,"R",106,"R",0,"R",0
166708, 1,"R",1339,"R",63,"R",28,"R",1248
166708,12,"R",1339,"R",63,"R",28,"R",1248
166717, 1,"R",917,"R",47,"R",167,"R",703
166717, 2,"R",30,"Z",0,"R",30,"R",0
166717, 3,"R",30,"Z",0,"R",30,"R",0
166717,12,"R",887,"R",47,"R",137,"R",703
166805, 1,"R",95,"A",,"A",,"R",95
166805, 2,"R",95,"A",,"A",,"R",95
166805, 3,"C",95,"A",,"A",,"C",95
166823, 1,"R",8472,"R",7636,"R",558,"R",278
166823, 2,"R",8472,"R",7636,"R",558,"R",278
166823, 3,"R",5880,"R",5098,"R",550,"R",232
166823,11,"R",2592,"R",2538,"R",8,"R",46
166850, 1,"R",6233,"R",517,"R",4442,"R",1274
166850, 2,"R",4522,"R",250,"R",3325,"R",947
166850, 3,"R",4168,"R",88,"R",3264,"R",816
166850,11,"R",354,"R",162,"R",61,"R",131
166850,12,"R",1711,"R",267,"R",1117,"R",327
166869, 1,"R",1693,"R",70,"R",1623,"R",0
166869, 2,"R",381,"R",19,"R",362,"R",0
166869, 3,"R",362,"R",0,"R",362,"R",0
166869,11,"R",19,"R",19,"R",0,"R",0
166869,12,"R",1312,"R",51,"R",1261,"R",0
166887, 1,"R",10352,"R",7039,"R",1183,"R",2130
166887, 2,"R",10352,"R",7039,"R",1183,"R",2130
