UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
177603,3,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",16650,"R",16650,"R",16650,"R",18650,"R",1560,"R",1732,"R",2532,"R",2982,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9310,"R",9310,"R",9310,"R",9310,"R",5977,"R",5977,"R",5977,"R",5977,"R",5977,"R",5977,"R",5977,"R",5977,"12.0414","R",15495,"R",3327,"R",1125,1,"R",8,"12.0413","R",7460,"R",186,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
177685,4,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",14250,"R",15000,"R",15000,"R",15000,"R",2625,"R",1875,"R",1875,"R",1975,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9406,"R",19834,"R",14964,"R",13158,"R",4354,"R",7192,"R",8761,"R",6676,"R",4354,"R",2763,"R",4859,"R",5913,"12.0409","R",8625,"R",1175,"R",750,1,"R",7,"12.0402","R",11000,"R",1955,"R",1000,1,"R",8,"12.0413","R",3000,"R",228,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
177931,11,"51.3901","A",.,"A",.,"R",1357,1,"R",11,"R",45,"R",906,"R",30,"R",13182,"R",13782,"R",13782,"R",13782,"R",2299,"R",2569,"R",2735,"R",2635,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7110,"R",7144,"R",7144,"R",7144,"R",7031,"R",7031,"R",7031,"R",7031,"R",3533,"R",3533,"R",3533,"R",3533,"46.0000","R",6933,"R",0,"R",924,1,"R",9,"12.0503","R",6933,"R",0,"R",924,1,"R",9,"19.0709","R",6933,"R",0,"R",924,1,"R",9,"48.0508","R",6933,"R",0,"R",924,1,"R",9,"47.0604","R",6933,"R",0,"R",924,1,"R",9,
178077,6,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",15150,"R",15150,"R",15975,"R",16275,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12763,"R",12750,"R",12800,"R",13350,"R",13838,"R",14063,"R",13800,"R",14650,"R",7350,"R",7975,"R",7513,"R",8313,"12.0409","R",12885,"R",0,"R",1125,1,"R",10,"12.0402","R",865,"R",0,"R",45,1,"R",1,"12.0402","R",10900,"R",0,"R",1000,1,"R",9,"12.0413","R",3900,"R",0,"R",600,1,"R",5,"12.0410","R",4678,"R",0,"R",400,1,"R",4,
178183,5,"01.8101","A",.,"A",.,"R",74,2,"R",16,"R",64,"R",33,"R",32,"R",29985,"R",29985,"R",29985,"R",30390,"R",1120,"R",1120,"R",922,"R",1077,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13856,"R",14112,"R",14112,"R",14640,"R",6816,"R",6944,"R",6944,"R",7200,"R",6816,"R",7136,"R",7136,"R",7392,"51.0909","R",39449,"R",1058,"R",77,2,"R",21,"51.0601","R",14755,"R",315,"R",31,2,"R",8,"51.0801","R",14755,"R",563,"R",35,2,"R",8,"51.3501","R",15271,"R",380,"R",34,2,"R",8,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
178527,4,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",11350,"R",11350,"R",11350,"R",11350,"R",947,"R",947,"R",953,"R",1212,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10825,"R",10825,"R",10825,"R",11438,"R",5325,"R",5325,"R",5325,"R",5775,"R",5325,"R",5325,"R",5325,"R",5775,"12.0409","R",7600,"R",1212,"R",750,1,"R",6,"12.0410","R",2100,"R",631,"R",400,1,"R",3,"12.0413","R",3100,"R",100,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
178828,10,"12.0401","A",.,"A",.,"R",1220,1,"R",10,"R",40,"R",900,"R",33,"R",7334,"R",7334,"R",7334,"R",7342,"R",1625,"R",1625,"R",1625,"R",1268,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6820,"R",6750,"R",7050,"R",7230,"R",12430,"R",16090,"R",16810,"R",17250,"R",12430,"R",16090,"R",16810,"R",17250,"48.0508","R",7342,"R",1050,"R",1044,1,"R",9,"47.0604","R",7342,"R",1050,"R",1044,1,"R",9,"47.0201","R",7377,"R",1050,"R",1044,1,"R",9,"46.0415","R",7342,"R",150,"R",1044,1,"R",9,"47.0603","R",7342,"R",1050,"R",1044,1,"R",9,
179052,9,"51.3901","A",.,"A",.,"R",1511,1,"R",12,"R",46,"R",900,"R",28,"R",10750,"R",10800,"R",10836,"R",10836,"R",2487,"R",2310,"R",2370,"R",2276,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",16066,"R",13743,"R",13743,"R",13743,"R",8050,"R",10408,"R",10408,"R",10408,"R",7590,"R",8234,"R",8234,"R",8234,"51.0909","R",10385,"R",1805,"R",1283,1,"R",12,"10.0305","R",14372,"R",2935,"R",1829,1,"R",18,"47.0201","R",7236,"R",1694,"R",914,1,"R",9,"47.0604","R",14372,"R",2068,"R",1829,1,"R",18,"11.0101","R",7236,"R",1615,"R",914,1,"R",9,
179195,2,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",52,"R",900,"R",30,"R",9900,"R",10300,"R",10500,"R",10500,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5200,"R",5200,"R",5525,"R",5525,"R",1625,"R",1625,"R",1950,"R",1950,"R",1625,"R",1625,"R",1950,"R",1950,"12.0413","R",4300,"R",0,"R",600,1,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
179229,5,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",12750,"R",12750,"R",12750,"R",12750,"R",975,"R",975,"R",975,"R",975,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10225,"R",10225,"R",10225,"R",10225,"R",5175,"R",5175,"R",5175,"R",5175,"R",5050,"R",5050,"R",5050,"R",5050,"12.0402","R",7280,"R",620,"R",1000,1,"R",9,"12.0409","R",6100,"R",255,"R",600,1,"R",6,"12.0413","R",6100,"R",255,"R",600,1,"R",4,"12.0499","R",383,"R",56,"R",45,1,"R",1,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
179511,6,"51.0801","A",.,"A",.,"R",31,2,"R",9,"R",36,"R",31,"R",36,"R",14570,"R",15035,"R",15035,"R",15421,"R",949,"R",949,"R",963,"R",461,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8064,"R",8064,"R",8064,"R",8064,"R",10242,"R",9000,"R",9000,"R",9000,"R",10242,"R",9000,"R",9000,"R",9000,"51.3902","R",15327,"R",251,"R",31,2,"R",9,"51.0710","R",15055,"R",882,"R",31,2,"R",9,"51.0714","R",29730,"R",2661,"R",61,2,"R",18,"51.0805","R",15215,"R",824,"R",31,2,"R",9,"51.0701","R",13940,"R",592,"R",30,2,"R",9,
179991,1,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",45,"R",900,"R",26,"R",12005,"R",12690,"R",15965,"R",15800,"R",1900,"R",2050,"R",2050,"R",2050,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6750,"R",8910,"R",8651,"R",9574,"R",2745,"R",3893,"R",5985,"R",4826,"R",4163,"R",3780,"R",4613,"R",3915,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
180063,1,"12.0401","A",.,"A",.,"R",1500,1,"R",10,"R",38,"R",900,"R",26,"R",10950,"R",11950,"R",11950,"R",11950,"R",1055,"R",1055,"R",1055,"R",1055,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6954,"R",6954,"R",6869,"R",6869,"R",4427,"R",4427,"R",4408,"R",4408,"R",4256,"R",4256,"R",4218,"R",4218,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
180090,4,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",50,"R",900,"R",30,"R",12800,"R",14975,"R",14800,"R",14800,"R",1475,"R",1300,"R",1300,"R",1300,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10000,"R",11250,"R",11250,"R",11250,"R",3125,"R",3125,"R",3125,"R",3125,"R",3125,"R",3125,"R",3125,"R",3125,"12.0409","R",8500,"R",1200,"R",650,1,"R",5,"12.0410","R",3500,"R",1000,"R",400,1,"R",3,"12.0413","R",8500,"R",325,"R",650,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
180957,2,"12.0402","A",.,"A",.,"R",1800,1,"R",13,"R",52,"R",900,"R",26,"R",19530,"R",19530,"R",19530,"R",19530,"R",2595,"R",2668,"R",3089,"R",3010,"R",6500,"R",6500,"R",6500,"R",6500,"R",4550,"R",4550,"R",3809,"R",4550,"R",8307,"R",9841,"R",12350,"R",12350,"R",2353,"R",2496,"R",6240,"R",6240,"R",1716,"R",1417,"R",8645,"R",8645,"12.0402","R",10322,"R",2132,"R",826,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
181190,1,"12.0401","A",.,"A",.,"R",1800,1,"R",13,"R",52,"R",900,"R",26,"R",17100,"R",17100,"R",17100,"R",17100,"R",2200,"R",2200,"R",2200,"R",2200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9607,"R",11128,"R",8814,"R",12558,"R",8515,"R",7306,"R",7241,"R",8593,"R",8515,"R",5239,"R",5005,"R",6994,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
181880,4,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",20815,"R",20815,"R",20925,"R",20925,"R",1920,"R",1920,"R",2100,"R",2100,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12075,"R",12075,"R",12075,"R",12075,"R",10707,"R",10707,"R",10707,"R",10707,"R",7176,"R",7176,"R",8085,"R",8085,"12.0407","R",14125,"R",1600,"R",1000,1,"R",7,"12.0409","R",9725,"R",1500,"R",600,1,"R",5,"12.0410","R",8525,"R",950,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
181941,7,"51.0801","A",.,"A",.,"R",95,2,"R",17,"R",66,"R",36,"R",30,"R",25323,"R",25325,"R",26679,"R",26085,"R",1600,"R",1600,"R",1600,"R",1600,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",20196,"R",20196,"R",20196,"R",20196,"R",14190,"R",14190,"R",14190,"R",14190,"R",9570,"R",9570,"R",9570,"R",9570,"48.0508","R",20419,"R",4808,"R",55,2,"R",12,"15.0501","R",20419,"R",2150,"R",45,2,"R",9,"11.0103","R",29252,"R",3061,"R",97,2,"R",18,"51.0706","R",30308,"R",5131,"R",95,2,"R",18,"47.0303","R",31384,"R",4746,"R",97,2,"R",18,
182652,1,"12.0401","A",.,"A",.,"R",1550,1,"R",13,"R",51,"R",900,"R",31,"R",19399,"R",19399,"R",19388,"R",19399,"R",2000,"R",2000,"R",2000,"R",2000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",11858,"R",11921,"R",11985,"R",11985,"R",4565,"R",4616,"R",4679,"R",4679,"R",4654,"R",4577,"R",4654,"R",4654,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
182704,4,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",48,"R",900,"R",30,"R",18495,"R",18495,"R",18495,"R",18495,"R",2300,"R",2300,"R",2300,"R",2300,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5184,"R",5184,"R",5184,"R",5184,"R",2100,"R",2100,"R",2100,"R",2100,"R",1116,"R",1116,"R",1116,"R",1116,"12.0402","R",10539,"R",1300,"R",900,1,"R",6,"12.0409","R",12750,"R",3000,"R",750,1,"R",5,"12.0409","R",10200,"R",1600,"R",600,1,"R",4,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
182722,4,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",48,"R",900,"R",30,"R",18495,"R",18495,"R",18495,"R",18495,"R",2300,"R",2300,"R",2300,"R",2300,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5184,"R",5184,"R",5184,"R",5184,"R",2100,"R",2100,"R",2100,"R",2100,"R",1116,"R",1116,"R",1116,"R",1116,"12.0402","R",10539,"R",1300,"R",900,1,"R",6,"12.0409","R",12750,"R",3000,"R",750,1,"R",5,"12.0409","R",10200,"R",1600,"R",600,1,"R",4,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
182892,1,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",52,"R",900,"R",26,"R",17500,"R",17500,"R",17500,"R",17850,"R",2400,"R",2400,"R",2400,"R",2400,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10283,"R",10283,"R",10153,"R",10283,"R",5902,"R",5902,"R",5902,"R",5902,"R",7995,"R",7995,"R",7995,"R",7995,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
182953,5,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",47,"R",900,"R",28,"R",16995,"R",16995,"R",16995,"R",16995,"R",3345,"R",3345,"R",3365,"R",3365,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9482,"R",9482,"R",23183,"R",23183,"R",7309,"R",7309,"R",7508,"R",7508,"R",6886,"R",6886,"R",13501,"R",13501,"12.0409","R",10659,"R",1948,"R",600,1,"R",5,"12.0402","R",16995,"R",3345,"R",1500,1,"R",12,"12.0402","R",3000,"R",1331,"R",300,1,"R",5,"12.0413","R",7995,"R",1149,"R",1000,1,"R",8,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
182999,3,"12.0401","A",.,"A",.,"R",1500,1,"R",14,"R",54,"R",900,"R",30,"R",17301,"R",17301,"R",17301,"R",17301,"R",2791,"R",3110,"R",3110,"R",3358,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",18131,"R",18131,"R",18131,"R",18131,"R",10800,"R",10800,"R",10800,"R",10800,"R",6750,"R",6750,"R",6750,"R",6750,"12.0413","R",9380,"R",150,"R",800,1,"R",7,"12.0410","R",3715,"R",3500,"R",300,1,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
183035,1,"51.3501","A",.,"A",.,"R",775,1,"R",12,"R",48,"R",775,"R",48,"R",10950,"R",10950,"R",10950,"R",10950,"R",1200,"R",1200,"R",1200,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6660,"R",6660,"R",6660,"R",6660,"R",2700,"R",2700,"R",2700,"R",2700,"R",1800,"R",1800,"R",1800,"R",1800,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
183202,2,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",16200,"R",17000,"R",17000,"R",18000,"R",2700,"R",2995,"R",3020,"R",3020,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9965,"R",10170,"R",10170,"R",17996,"R",5622,"R",5730,"R",5730,"R",6224,"R",2784,"R",2849,"R",2849,"R",4128,"12.0413","R",8000,"R",325,"R",800,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
183725,7,"51.0601","A",.,"A",.,"R",1015,1,"R",10,"R",38,"R",900,"R",30,"R",19004,"R",19187,"R",19521,"R",16525,"R",1325,"R",1325,"R",1325,"R",1325,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9975,"R",7600,"R",9244,"R",10070,"R",6536,"R",6213,"R",6175,"R",7553,"R",2613,"R",2755,"R",3116,"R",5890,"47.0201","R",12246,"R",1950,"R",1200,1,"R",14,"51.0801","R",15393,"R",984,"R",780,1,"R",9,"47.0103","R",12321,"R",2000,"R",960,1,"R",12,"51.0714","R",13493,"R",1423,"R",1020,1,"R",12,"41.0101","R",13339,"R",2150,"R",980,1,"R",12,
183983,4,"46.0302","A",.,"A",.,"R",1200,1,"R",13,"R",50,"R",1064,"R",50,"R",12300,"R",12650,"R",12650,"R",14450,"R",371,"R",371,"R",371,"R",430,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13000,"R",13263,"R",13525,"R",13788,"R",2113,"R",2200,"R",1763,"R",1788,"R",2113,"R",2200,"R",1763,"R",1788,"46.0503","R",10115,"R",408,"R",819,1,"R",8,"47.0201","R",13005,"R",591,"R",1053,1,"R",11,"52.1201","R",8700,"R",274,"R",840,1,"R",8,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
184056,4,"51.3901","A",.,"A",.,"R",1500,1,"R",13,"R",52,"R",900,"R",30,"R",27600,"R",28350,"R",29175,"R",29227,"R",691,"R",782,"R",724,"R",1799,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",15418,"R",15665,"R",33969,"R",35204,"R",8528,"R",8671,"R",15288,"R",16978,"R",5954,"R",5720,"R",6955,"R",9971,"11.0901","R",21063,"R",2519,"R",33,2,"R",11,"51.0801","R",20212,"R",1331,"R",32,2,"R",10,"51.3902","R",16104,"R",1344,"R",26,2,"R",9,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
184092,5,"51.0801","A",.,"A",.,"R",33,2,"R",11,"R",45,"R",24,"R",30,"R",18495,"R",18495,"R",18495,"R",18495,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10283,"R",10519,"R",10699,"R",10845,"R",5153,"R",4489,"R",4545,"R",4275,"R",4365,"R",5265,"R",5355,"R",5434,"51.0601","R",18495,"R",0,"R",36,2,"R",11,"51.3501","R",13995,"R",0,"R",25,2,"R",8,"52.0401","R",13495,"R",0,"R",24,2,"R",8,"51.0910","R",37995,"R",0,"R",61,2,"R",18,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
184278,1,"49.0304","A",.,"A",.,"R",900,1,"R",6,"R",25,"R",900,"R",30,"R",32925,"R",32925,"R",32900,"R",32900,"R",5000,"R",5000,"R",5000,"R",5000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6250,"R",6250,"R",6250,"R",6250,"R",625,"R",625,"R",625,"R",625,"R",500,"R",500,"R",500,"R",500,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
184427,5,"47.0613","A",.,"A",.,"R",63,2,"R",14,"R",56,"R",24,"R",32,"R",31929,"R",32865,"R",32943,"R",33595,"R",1480,"R",1540,"R",1591,"R",2133,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",16604,"R",16870,"R",36582,"R",37912,"R",9184,"R",9338,"R",16464,"R",18284,"R",6412,"R",6160,"R",7490,"R",10738,"48.0508","R",26413,"R",2054,"R",37,2,"R",11,"47.0302","R",41254,"R",2366,"R",78,2,"R",18,"47.0613","R",15724,"R",2133,"R",30,2,"R",7,"47.0613","R",41254,"R",2823,"R",77,2,"R",18,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
184506,2,"12.0401","A",.,"A",.,"R",1200,1,"R",9,"R",35,"R",900,"R",26,"R",16320,"R",16320,"R",16320,"R",16320,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7114,"R",7254,"R",7464,"R",8260,"R",6309,"R",6694,"R",6886,"R",7035,"R",6309,"R",6694,"R",6886,"R",7035,"12.0413","R",7500,"R",499,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
184746,5,"46.0302","A",.,"A",.,"R",900,1,"R",9,"R",36,"R",900,"R",36,"R",19535,"R",20465,"R",20465,"R",20465,"R",600,"R",600,"R",600,"R",600,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",16362,"R",16362,"R",16362,"R",16362,"R",720,"R",720,"R",720,"R",720,"R",720,"R",720,"R",720,"R",720,"46.0503","R",20465,"R",600,"R",900,1,"R",9,"48.0508","R",15175,"R",350,"R",600,1,"R",6,"46.0401","R",20415,"R",600,"R",900,1,"R",9,"15.0613","R",20465,"R",600,"R",900,1,"R",9,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
184816,2,"12.0401","A",.,"A",.,"R",1200,1,"R",9,"R",35,"R",900,"R",26,"R",16320,"R",16320,"R",16320,"R",16320,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6466,"R",6659,"R",6913,"R",7578,"R",5731,"R",6143,"R",6379,"R",6458,"R",5731,"R",6143,"R",6379,"R",6458,"12.0413","R",6600,"R",499,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
185396,4,"46.0302","A",.,"A",.,"R",42,2,"R",13,"R",52,"R",24,"R",32,"R",23934,"R",24402,"R",25968,"R",26064,"R",1563,"R",1585,"R",1617,"R",2315,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",15418,"R",15665,"R",33969,"R",35204,"R",8528,"R",8671,"R",15288,"R",16978,"R",5954,"R",5720,"R",6955,"R",9971,"15.0501","R",29161,"R",1961,"R",57,2,"R",12,"47.0604","R",33546,"R",1834,"R",60,2,"R",14,"47.0604","R",15696,"R",1834,"R",30,2,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
185466,3,"12.0401","A",.,"A",.,"R",1200,1,"R",10,"R",40,"R",900,"R",36,"R",18100,"R",18550,"R",18550,"R",18550,"R",2500,"R",2500,"R",2500,"R",2600,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5000,"R",5000,"R",5000,"R",5000,"R",4000,"R",4000,"R",4000,"R",4000,"R",4000,"R",4000,"R",4000,"R",4000,"12.0409","R",10550,"R",1100,"R",600,1,"R",6,"12.0410","R",3200,"R",450,"R",300,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
