UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
104391,1,"12.0401","A",.,"A",.,"R",1600,1,"R",13,"R",52,"R",900,"R",30,"R",12500,"R",12500,"R",12500,"R",13850,"R",3400,"R",3400,"R",3400,"R",4150,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9672,"R",9672,"R",9672,"R",9672,"R",5707,"R",5707,"R",5707,"R",5707,"R",3653,"R",3653,"R",3653,"R",3653,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104443,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",19200,"R",19200,"R",19200,"R",19200,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8499,"R",8752,"R",9085,"R",9959,"R",7533,"R",8073,"R",8384,"R",8487,"R",7533,"R",8073,"R",8384,"R",8487,"12.0413","R",3500,"R",499,"R",350,1,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104568,4,"12.0401","A",.,"A",.,"R",1600,1,"R",14,"R",56,"R",900,"R",26,"R",16800,"R",17200,"R",17200,"R",17200,"R",1860,"R",2218,"R",2218,"R",2218,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12698,"R",13090,"R",14476,"R",14476,"R",14112,"R",14112,"R",16072,"R",16072,"R",14112,"R",14532,"R",16072,"R",16072,"12.0409","R",8850,"R",2002,"R",600,1,"R",8,"12.0413","R",2100,"R",1049,"R",350,1,"R",8,"12.0413","R",2100,"R",1009,"R",350,1,"R",8,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105215,2,"47.0611","A",.,"A",.,"R",49,2,"R",11,"R",42,"R",30,"R",30,"R",19450,"R",19950,"R",22950,"R",23500,"R",215,"R",215,"R",215,"R",215,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7760,"R",8138,"R",7802,"R",8243,"R",6878,"R",7214,"R",6920,"R",7308,"R",6878,"R",7214,"R",6920,"R",7308,"47.0611","R",32800,"R",215,"R",70,2,"R",14,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105534,20,"51.0701","A",.,"A",.,"R",64,2,"R",19,"R",75,"R",24,"R",32,"R",20964,"R",21092,"R",21206,"R",23175,"R",2451,"R",2334,"R",2326,"R",2592,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",19800,"R",19800,"R",23831,"R",24675,"R",14981,"R",14981,"R",6469,"R",6563,"R",10800,"R",10800,"R",6150,"R",6244,"51.0801","R",16534,"R",789,"R",35,2,"R",9,"51.0701","R",22550,"R",2164,"R",80,2,"R",20,"01.8301","R",15233,"R",841,"R",30,2,"R",8,"51.0601","R",18305,"R",807,"R",30,2,"R",8,"51.0806","R",20675,"R",1836,"R",64,2,"R",16,
105543,11,"51.0801","A",.,"A",.,"R",34,2,"R",9,"R",35,"R",34,"R",35,"R",13377,"R",14335,"R",14770,"R",17155,"R",788,"R",778,"R",788,"R",789,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7280,"R",7280,"R",11121,"R",11515,"R",4926,"R",6116,"R",3019,"R",3063,"R",4830,"R",6020,"R",2870,"R",2914,"51.0601","R",17088,"R",896,"R",30,2,"R",8,"01.8301","R",16490,"R",841,"R",30,2,"R",8,"51.0911","R",46094,"R",2185,"R",96,2,"R",24,"51.3901","R",25959,"R",2045,"R",48,2,"R",12,"51.0806","R",40747,"R",2161,"R",75,2,"R",19,
105659,6,"15.0403","A",.,"A",.,"R",36,2,"R",10,"R",38,"R",24,"R",30,"R",19924,"R",19924,"R",19924,"R",19924,"R",1654,"R",1654,"R",1654,"R",1654,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10612,"R",10821,"R",10821,"R",12645,"R",8351,"R",8522,"R",8522,"R",11011,"R",5843,"R",6061,"R",6061,"R",7638,"48.0508","R",18085,"R",1006,"R",24,2,"R",7,"47.0201","R",16175,"R",1049,"R",24,2,"R",6,"46.0302","R",14648,"R",1372,"R",28,2,"R",7,"15.1701","R",29776,"R",3434,"R",63,2,"R",15,"46.0302","R",6825,"R",1305,"R",12,2,"R",3,
105677,1,"47.0404","A",.,"A",.,"R",880,1,"R",5,"R",20,"R",900,"R",26,"R",10950,"R",10950,"R",10950,"R",11950,"R",3000,"R",3000,"R",3415,"R",3415,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7915,"R",8025,"R",8290,"R",8580,"R",2800,"R",2925,"R",3000,"R",3125,"R",2825,"R",2875,"R",2930,"R",3000,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
106041,10,"47.0604","A",.,"A",.,"R",61,2,"R",13,"R",51,"R",30,"R",30,"R",35750,"R",36800,"R",38100,"R",39050,"R",215,"R",215,"R",215,"R",215,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9410,"R",9881,"R",9473,"R",10009,"R",8351,"R",8759,"R",8402,"R",8874,"R",8351,"R",8759,"R",8402,"R",8874,"47.0604","R",50150,"R",215,"R",90,2,"R",18,"47.0604","R",48200,"R",215,"R",81,2,"R",16,"47.0604","R",46500,"R",215,"R",77,2,"R",15,"48.0508","R",21800,"R",215,"R",36,2,"R",9,"47.0605","R",35800,"R",215,"R",54,2,"R",11,
106111,3,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",19200,"R",19200,"R",19200,"R",19200,"R",2750,"R",2750,"R",2750,"R",2750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9350,"R",9534,"R",9810,"R",10856,"R",8292,"R",8798,"R",9051,"R",9246,"R",8292,"R",8798,"R",9051,"R",9246,"12.0409","R",8105,"R",1400,"R",600,1,"R",5,"12.0413","R",3500,"R",499,"R",350,1,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
