UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
153834,"R",188,"R",9677151,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",760611,"R",33,"R",3076732,"R",17,"R",1056138,"R",18,"R",995911,"R",24,"R",1143971,"Z",0,"Z",0,"R",32,"R",913432,"Z",0,"Z",0,"R",37,"R",1253012,"R",12,"R",477344,"Z",0,"Z",0
153861,"R",244,"R",8847194,"Z",0,"Z",0,"Z",0,"Z",0,"R",36,"R",1394588,"R",20,"R",1113518,"R",29,"R",1107015,"R",30,"R",1289064,"R",36,"R",1297132,"R",2,"R",52153,"R",30,"R",822253,"R",9,"R",253502,"R",43,"R",1244785,"R",7,"R",231550,"R",2,"R",41634
153922,"R",97,"R",5305562,"Z",0,"Z",0,"Z",0,"Z",0,"R",17,"R",758014,"R",21,"R",1907296,"R",5,"R",264217,"R",8,"R",557787,"R",13,"R",559395,"Z",0,"Z",0,"R",9,"R",235032,"R",1,"R",46641,"R",19,"R",790251,"R",4,"R",186929,"Z",0,"Z",0
153977,"R",67,"R",3204695,"Z",0,"Z",0,"Z",0,"Z",0,"R",25,"R",1121702,"R",24,"R",1241094,"R",3,"R",140004,"R",4,"R",250702,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",101296,"Z",0,"Z",0,"R",8,"R",349897,"Z",0,"Z",0,"Z",0,"Z",0
154004,"R",168,"R",9249090,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",416320,"R",30,"R",2907400,"R",5,"R",315560,"R",8,"R",408170,"R",44,"R",2297110,"R",3,"R",164220,"R",25,"R",894540,"Z",0,"Z",0,"R",38,"R",1530170,"R",7,"R",315600,"Z",0,"Z",0
154013,"R",162,"R",8089866,"Z",0,"Z",0,"Z",0,"Z",0,"R",20,"R",912300,"R",28,"R",2580007,"R",19,"R",826790,"R",9,"R",496974,"R",38,"R",1628713,"R",4,"R",179380,"R",22,"R",669101,"Z",0,"Z",0,"R",14,"R",480618,"R",8,"R",315983,"Z",0,"Z",0
154022,"R",250,"R",18470905,"Z",0,"Z",0,"Z",0,"Z",0,"R",170,"R",9612606,"R",23,"R",4045233,"R",35,"R",2808991,"R",11,"R",1219726,"R",8,"R",526869,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",257480,"Z",0,"Z",0,"Z",0,"Z",0
154059,"R",147,"R",7944971,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",249038,"R",24,"R",2160208,"R",19,"R",1125156,"R",11,"R",648995,"R",30,"R",1500215,"R",1,"R",53877,"R",21,"R",802145,"R",2,"R",101382,"R",33,"R",1303955,"Z",0,"Z",0,"Z",0,"Z",0
154095,"R",971,"R",64881603,"Z",0,"Z",0,"Z",0,"Z",0,"R",103,"R",6032858,"R",101,"R",12633155,"R",130,"R",9048771,"R",154,"R",10954410,"R",79,"R",6045549,"R",11,"R",645426,"R",142,"R",6506440,"R",9,"R",453751,"R",158,"R",7651058,"R",60,"R",3636489,"R",24,"R",1273696
154101,"R",137,"R",7355230,"Z",0,"Z",0,"Z",0,"Z",0,"R",17,"R",780534,"R",47,"R",3433794,"R",3,"R",131067,"R",7,"R",379768,"R",27,"R",1272968,"R",5,"R",222050,"R",15,"R",500233,"Z",0,"Z",0,"R",11,"R",415376,"R",4,"R",180440,"R",1,"R",39000
